vendorID,vendorName,companyLegalName,companyPreferredName,vendorLandingPageURL,creator,schemaVersion
5418,Bosch / Siemens / Gaggenau / Neff - Home Appliances,BSH Hausgeräte GmbH,BSH Home Appliances,https://www.bsh-group.com,cosmos1d50dhdt3cdm0sy3sgn9eqs6qs86q86xy57laln,0
5419,Kumho,"Kumho Electric, Inc.",,,cosmos1ark9yzf4ct30utmu9vtyulrcs9gyjj5ry5yt69,0
5420,Dreame,"Dreame Trading (Tianjin) Co., Ltd.",,,cosmos1ucu850e8dv0uenn559sm2xucs5529dtyzfuu06,0
5421,Neo Smart Blinds,Neo Materials and Consulting Inc.,Neo Smart Blinds,https://neosmartblinds.com/,cosmos1jnlc6f52l9e4pj3ul6f0y5mndwac49pedxrv4s,0
5424,Taiwan Fu Hsing,"Taiwan Fu Hsing Industrial Co., Ltd.",,,cosmos1upyn2s6g6w445d33vqzt3pv3a6whpmv8x8hk0d,0
5425,Solity,Solity ,Solity Door lock,https://www.solitykorea.com/en,cosmos1gkrj94htrany477ns5zpqlueejrmxaq2t95z7u,0
5426,Arpobot,Arpobot Pty Ltd,,https://www.arpobot.com,cosmos1d66e3pkznl7ud3tcry3us57kqeg794vh6xs6zu,0
5427,"Anker Innovations  Technology Co., Ltd","Anker Innovations  Technology Co., Ltd",Anker Innovations  Technology,https://cn.anker-in.com/,cosmos1pd6mrdhc44ztaca0fkhu4mx2297f4lq7flrpd8,0
5430,DomoPlus,EXOI TECHNOLOGY CORP,,,cosmos1ax7h9pgfjzazh7rg95y4ns90rkwlmxnze52evk,0
5431,PEARL GmbH,PEARL GmbH,,,cosmos1vq5h0dwl6kwvhngmc4yptnd5mp5003lpvy9cep,0
5432,Beca,Beca,,,cosmos13m8q5glyrcjpgvup7fvlrujht7tmufzm8uglka,0
5433,WISeKey,WISeKey SA,,https://www.sealsq.com/solutions/device-attestation-for-matter,cosmos12hwhcp0prfljalymdn43dl8hssc8vzkvvlwg2p,0
5435,Griesser Electronic AG,Griesser Electronic AG,Griesser Group,https://griesser-group.com/en/,cosmos1dcs8m6a0gwtn60t326g54uxu6zs7323ghr52su,0
5437,Amlogic,"Amlogic (Shanghai) Co., Ltd.",,https://www.amlogic.com/,cosmos1xx2292frtpxy94hsgtecsuaxzjksuqhmcn6ygq,0
5439,Brel,Brel Nederland bv,,,cosmos1u5q7l92vwt5k7xklzq8hy8uj9he639dpffx53e,0
5441,Kärcher,Alfred Kärcher SE & Co. KG,,https://www.kaercher.com,cosmos1w8w8s995h39kqjd46mn6e9j4nsrw32en9rtjqf,0
